fdate,number of customers without power,county,state,fips
2024-02-03 13:00:00,4,Colusa County,CA,06011
2024-02-03 14:00:00,4,Colusa County,CA,06011
2024-02-03 15:00:00,4,Colusa County,CA,06011
2024-02-03 16:00:00,4,Colusa County,CA,06011
2024-02-03 17:00:00,4,Colusa County,CA,06011
2024-02-03 18:00:00,0,Colusa County,CA,06011
2024-02-03 19:00:00,0,Colusa County,CA,06011
2024-02-03 20:00:00,0,Colusa County,CA,06011
2024-02-03 21:00:00,0,Colusa County,CA,06011
2024-02-03 22:00:00,0,Colusa County,CA,06011
2024-02-03 23:00:00,0,Colusa County,CA,06011
2024-02-04 00:00:00,0,Colusa County,CA,06011
2024-02-04 01:00:00,0,Colusa County,CA,06011
2024-02-04 02:00:00,0,Colusa County,CA,06011
2024-02-04 03:00:00,0,Colusa County,CA,06011
2024-02-04 04:00:00,0,Colusa County,CA,06011
2024-02-04 05:00:00,0,Colusa County,CA,06011
2024-02-04 06:00:00,0,Colusa County,CA,06011
2024-02-04 07:00:00,0,Colusa County,CA,06011
2024-02-04 08:00:00,0,Colusa County,CA,06011
2024-02-04 09:00:00,0,Colusa County,CA,06011
2024-02-04 10:00:00,0,Colusa County,CA,06011
2024-02-04 11:00:00,0,Colusa County,CA,06011
2024-02-04 12:00:00,0,Colusa County,CA,06011
2024-02-04 13:00:00,2,Colusa County,CA,06011
2024-02-04 14:00:00,40,Colusa County,CA,06011
2024-02-04 15:00:00,40,Colusa County,CA,06011
2024-02-04 16:00:00,40,Colusa County,CA,06011
2024-02-04 17:00:00,40,Colusa County,CA,06011
2024-02-04 18:00:00,189,Colusa County,CA,06011
2024-02-04 19:00:00,189,Colusa County,CA,06011
2024-02-04 20:00:00,149,Colusa County,CA,06011
2024-02-04 21:00:00,149,Colusa County,CA,06011
2024-02-04 22:00:00,161,Colusa County,CA,06011
2024-02-04 23:00:00,161,Colusa County,CA,06011
2024-02-05 00:00:00,161,Colusa County,CA,06011
2024-02-05 01:00:00,161,Colusa County,CA,06011
2024-02-05 02:00:00,165,Colusa County,CA,06011
2024-02-05 03:00:00,176,Colusa County,CA,06011
2024-02-05 04:00:00,210,Colusa County,CA,06011
2024-02-05 05:00:00,210,Colusa County,CA,06011
2024-02-05 06:00:00,257,Colusa County,CA,06011
2024-02-05 07:00:00,339,Colusa County,CA,06011
2024-02-05 08:00:00,389,Colusa County,CA,06011
2024-02-05 09:00:00,389,Colusa County,CA,06011
2024-02-05 10:00:00,389,Colusa County,CA,06011
2024-02-05 11:00:00,389,Colusa County,CA,06011
2024-02-05 12:00:00,389,Colusa County,CA,06011
2024-02-05 13:00:00,389,Colusa County,CA,06011
2024-02-05 14:00:00,576,Colusa County,CA,06011
2024-02-05 15:00:00,389,Colusa County,CA,06011
2024-02-05 16:00:00,423,Colusa County,CA,06011
